Latitude (decimal degrees):	50.839
Longitude (decimal degrees):	4.375
Elevation (m):	83
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: 39 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	2.3
System losses (%):	18.3
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0030,0.0,0.0,0.0,2.72,2.62,0.0
20200101:0130,0.0,0.0,0.0,2.15,2.55,0.0
20200101:0230,0.0,0.0,0.0,1.87,2.69,0.0
20200101:0330,0.0,0.0,0.0,1.5,2.69,0.0
20200101:0430,0.0,0.0,0.0,1.0,2.55,0.0
20200101:0530,0.0,0.0,0.0,0.55,2.41,0.0
20200101:0630,0.0,0.0,0.0,0.11,2.34,0.0
20200101:0730,0.0,0.0,0.0,0.01,2.07,0.0
20200101:0830,0.0,0.49,4.5,-0.46,2.21,0.0
20200101:0930,98.69,69.05,10.31,0.34,1.93,0.0
20200101:1030,448.48,243.96,14.28,2.39,1.86,0.0
20200101:1130,824.89,434.79,16.07,3.82,2.14,0.0
20200101:1230,1133.69,600.2,15.51,4.89,2.55,0.0
20200101:1330,1247.59,665.1,12.67,5.46,2.76,0.0
20200101:1430,1249.64,667.98,7.79,5.62,2.83,0.0
20200101:1530,48.62,39.29,1.25,5.02,2.48,0.0
20200101:1630,0.0,0.0,-6.55,3.88,2.62,0.0
20200101:1730,0.0,0.0,0.0,3.47,2.69,0.0
20200101:1830,0.0,0.0,0.0,2.91,2.69,0.0
20200101:1930,0.0,0.0,0.0,2.06,2.69,0.0
20200101:2030,0.0,0.0,0.0,2.01,2.76,0.0
20200101:2130,0.0,0.0,0.0,1.84,2.48,0.0
20200101:2230,0.0,0.0,0.0,1.94,2.07,0.0
20200101:2330,0.0,0.0,0.0,2.05,2.07,0.0
20200102:0030,0.0,0.0,0.0,2.28,2.07,0.0
20200102:0130,0.0,0.0,0.0,2.57,2.07,0.0
20200102:0230,0.0,0.0,0.0,2.94,2.14,0.0
20200102:0330,0.0,0.0,0.0,3.28,2.34,0.0
20200102:0430,0.0,0.0,0.0,3.57,2.55,0.0
20200102:0530,0.0,0.0,0.0,3.95,2.76,0.0
20200102:0630,0.0,0.0,0.0,4.28,2.9,0.0
20200102:0730,0.0,0.0,0.0,3.2,2.9,0.0
20200102:0830,0.0,0.14,4.52,3.42,2.97,0.0
20200102:0930,10.21,14.88,10.35,4.15,3.1,0.0
20200102:1030,36.16,31.83,14.34,4.89,3.17,0.0
20200102:1130,69.28,51.12,16.15,5.61,3.17,0.0
20200102:1230,139.66,88.26,15.61,6.4,4.55,0.0
20200102:1330,78.29,56.31,12.78,6.68,4.69,0.0
20200102:1430,73.05,53.01,7.91,6.82,4.0,0.0
20200102:1530,7.82,12.95,1.37,6.71,4.0,0.0
20200102:1630,0.0,0.0,-6.42,6.68,4.21,0.0
20200102:1730,0.0,0.0,0.0,6.77,4.48,0.0
20200102:1830,0.0,0.0,0.0,6.95,4.62,0.0
20200102:1930,0.0,0.0,0.0,6.94,4.83,0.0
20200102:2030,0.0,0.0,0.0,7.34,5.24,0.0
20200102:2130,0.0,0.0,0.0,7.65,5.31,0.0
20200102:2230,0.0,0.0,0.0,7.9,5.38,0.0
20200102:2330,0.0,0.0,0.0,8.06,5.72,0.0
20200103:0030,0.0,0.0,0.0,8.35,5.93,0.0
20200103:0130,0.0,0.0,0.0,8.45,5.86,0.0
20200103:0230,0.0,0.0,0.0,8.48,5.79,0.0
20200103:0330,0.0,0.0,0.0,8.39,5.66,0.0
20200103:0430,0.0,0.0,0.0,8.28,5.72,0.0
20200103:0530,0.0,0.0,0.0,8.19,5.79,0.0
20200103:0630,0.0,0.0,0.0,8.23,5.86,0.0
20200103:0730,0.0,0.0,0.0,8.96,6.28,0.0
20200103:0830,0.0,0.05,4.56,9.17,6.55,0.0
20200103:0930,3.86,9.83,10.4,9.51,6.55,0.0
20200103:1030,132.96,86.52,14.41,9.99,7.1,0.0
20200103:1130,90.02,63.2,16.24,10.04,7.45,0.0
20200103:1230,178.2,108.76,15.72,10.19,7.45,0.0
20200103:1330,10.49,15.16,12.9,9.66,6.48,0.0
20200103:1430,5.61,11.23,8.03,9.39,6.0,0.0
20200103:1530,0.0,4.42,1.51,9.2,5.24,0.0
20200103:1630,0.0,0.0,-6.28,8.51,4.76,0.0
20200103:1730,0.0,0.0,0.0,7.65,4.55,0.0
20200103:1830,0.0,0.0,0.0,7.19,3.86,0.0
20200103:1930,0.0,0.0,0.0,7.0,3.72,0.0
20200103:2030,0.0,0.0,0.0,6.34,3.31,0.0
20200103:2130,0.0,0.0,0.0,5.7,2.97,0.0
20200103:2230,0.0,0.0,0.0,4.63,2.69,0.0
20200103:2330,0.0,0.0,0.0,3.91,2.97,0.0
20200104:0030,0.0,0.0,0.0,3.24,3.03,0.0
20200104:0130,0.0,0.0,0.0,2.7,3.1,0.0
20200104:0230,0.0,0.0,0.0,2.47,3.24,0.0
20200104:0330,0.0,0.0,0.0,2.51,3.45,0.0
20200104:0430,0.0,0.0,0.0,2.79,3.45,0.0
20200104:0530,0.0,0.0,0.0,2.92,3.52,0.0
20200104:0630,0.0,0.0,0.0,2.86,3.66,0.0
20200104:0730,0.0,0.0,0.0,2.84,3.72,0.0
20200104:0830,0.0,0.36,4.6,2.75,3.72,0.0
20200104:0930,73.97,55.5,10.46,3.22,3.93,0.0
20200104:1030,350.29,195.22,14.48,4.26,3.59,0.0
20200104:1130,605.8,321.51,16.33,5.3,4.0,0.0
20200104:1230,839.2,439.97,15.83,6.36,5.03,0.0
20200104:1330,857.26,450.78,13.02,7.03,4.9,0.0
20200104:1430,194.9,116.93,8.17,7.07,4.28,0.0
20200104:1530,29.14,27.7,1.65,6.86,3.93,0.0
20200104:1630,0.0,0.0,-6.14,6.53,3.59,0.0
20200104:1730,0.0,0.0,0.0,6.41,3.66,0.0
20200104:1830,0.0,0.0,0.0,6.37,3.52,0.0
20200104:1930,0.0,0.0,0.0,6.05,2.97,0.0
